work_id,title,otrostitulos,old_url_candidates,old_slug_candidates,new_url,new_slug,automatic_slug,evidence
ROJO_AntiocoYSeleuco(Burlesca)(Transk-MSS),Antioco y Seleuco (Burlesca),,https://etso.es/informes/analisis-estilometrico-antioco-y-seleuco,analisis-estilometrico-antioco-y-seleuco [Antíoco y Seleuco],https://etso.es/informes/analisis-estilometrico-antioco-y-seleuco-burlesca,analisis-estilometrico-antioco-y-seleuco-burlesca,analisis-estilometrico-antioco-y-seleuco-burlesca,descriptor-match
RAMOS-CASTILLO_AutoSacramental(Otro1)(Auto)(Transk-IMPR),Auto Sacramental (Emp: Señor galán embozado),,https://etso.es/informes/analisis-estilometrico-auto-sacramental-otro; https://etso.es/informes/analisis-estilometrico-auto-sacramental,analisis-estilometrico-auto-sacramental-otro [Auto Sacramental (Emp: Por la verde maleza)]; analisis-estilometrico-auto-sacramental [Auto Sacramental (Emp: Ya se despedía el mayo)],https://etso.es/informes/analisis-estilometrico-auto-sacramental-emp-senor-galan-embozado,analisis-estilometrico-auto-sacramental-emp-senor-galan-embozado,analisis-estilometrico-auto-sacramental-emp-senor-galan-embozado,descriptor-match
SANCHEZ-JUAN_CercoDeTunez(Transk-IMPR),"Cerco de Túnez, El",,https://etso.es/informes/analisis-estilometrico-el-cerco-de-tunez,"analisis-estilometrico-el-cerco-de-tunez [Cerco de Túnez, El]",https://etso.es/informes/analisis-estilometrico-el-cerco-de-tunez-0,analisis-estilometrico-el-cerco-de-tunez-0,analisis-estilometrico-el-cerco-de-tunez-0,title-match
DESCONOCIDO_DosLucerosDeOriente(OtraVersion)(Transk-MSS),"Dos luceros de Oriente, Los (otra versión)",,https://etso.es/informes/analisis-estilometrico-los-dos-luceros-de-oriente,"analisis-estilometrico-los-dos-luceros-de-oriente [Dos luceros de Oriente, Los]",https://etso.es/informes/analisis-estilometrico-los-dos-luceros-de-oriente-otra-version,analisis-estilometrico-los-dos-luceros-de-oriente-otra-version,analisis-estilometrico-los-dos-luceros-de-oriente-otra-version,descriptor-match
DESCONOCIDO_InclinacionEspanola,"Inclinación española, La",,https://etso.es/informes/analisis-estilometrico-la-inclinacion-espanola,"analisis-estilometrico-la-inclinacion-espanola [Inclinación española, La]",https://etso.es/informes/analisis-estilometrico-la-inclinacion-espanola-0,analisis-estilometrico-la-inclinacion-espanola-0,analisis-estilometrico-la-inclinacion-espanola-0,title-match
LOPEZ-CASTRO_MarcoAntonio(Transk-MSS),Marco Antonio y Cleopatra,,https://etso.es/informes/analisis-estilometrico-marco-antonio-y-cleopatra,analisis-estilometrico-marco-antonio-y-cleopatra [Marco Antonio y Cleopatra],https://etso.es/informes/analisis-estilometrico-marco-antonio-y-cleopatra-0,analisis-estilometrico-marco-antonio-y-cleopatra-0,analisis-estilometrico-marco-antonio-y-cleopatra,title-match
CANIZARES_MasAmadaDeCristo(PrimeraParte)(Transk-IMPR),"Más amada de Cristo, santa Gertrudis la Magna, La",,https://etso.es/informes/analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte,"analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte [Más amada de Cristo, Santa Gertrudis la Magna, La (Segunda parte)]",https://etso.es/informes/analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna,descriptor-match
VELEZ_NoviosDeHornachuelos(VersionManuscrito),"Novios de Hornachuelos, Los (Mss/15429)",,https://etso.es/informes/analisis-estilometrico-los-novios-de-hornachuelos,"analisis-estilometrico-los-novios-de-hornachuelos [Novios de Hornachuelos, Los]",https://etso.es/informes/analisis-estilometrico-los-novios-de-hornachuelos-mss-15429,analisis-estilometrico-los-novios-de-hornachuelos-mss-15429,analisis-estilometrico-los-novios-de-hornachuelos-mss-15429,descriptor-match
DESCONOCIDO(2)_PadrinoDeSuAfrenta,"Padrino de su afrenta, El",,https://etso.es/informes/analisis-estilometrico-el-padrino-de-su-afrenta,"analisis-estilometrico-el-padrino-de-su-afrenta [Padrino de su afrenta, El]",https://etso.es/informes/analisis-estilometrico-el-padrino-de-su-afrenta-0,analisis-estilometrico-el-padrino-de-su-afrenta-0,analisis-estilometrico-el-padrino-de-su-afrenta-0,title-match
MORETO_Parecido(RefundicionPosterior),"Parecido, El (Refundición posterior)",,https://etso.es/informes/analisis-estilometrico-el-parecido,"analisis-estilometrico-el-parecido [Parecido, El (Refundición posterior)]",https://etso.es/informes/analisis-estilometrico-el-parecido-refundicion-posterior,analisis-estilometrico-el-parecido-refundicion-posterior,analisis-estilometrico-el-parecido-refundicion-posterior,title-match; descriptor-match
