work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
DESCONOCIDO_AAveriguadosCelosNoHayPrudencia(Transk-MSS),A averiguados celos no hay prudencia,averiguados-celos-no-hay-prudencia,automatic,averiguados-celos-no-hay-prudencia,,https://etso.es/informes/analisis-estilometrico-averiguados-celos-no-hay-prudencia,
ENRIQUEZdudosa_ACadaPasoUnPeligro,A cada paso un peligro,cada-paso-un-peligro,automatic,cada-paso-un-peligro,,https://etso.es/informes/analisis-estilometrico-cada-paso-un-peligro,
CALDERON_ADiosPorRazon(Auto),A Dios por razón de estado,dios-por-razon-de-estado,automatic,dios-por-razon-de-estado,,https://etso.es/informes/analisis-estilometrico-dios-por-razon-de-estado,
DESCONOCIDO_AFaltaDeHechiceros(Transk-IMPR),A falta de hechiceros lo quieren ser los gallegos y asombro de Salamanca,falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de,automatic,falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de,,https://etso.es/informes/analisis-estilometrico-falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de,
VILLAIZAN_AGranDanoGranRemedio(Transk-IMPR),A gran daño gran remedio,gran-dano-gran-remedio,automatic,gran-dano-gran-remedio,,https://etso.es/informes/analisis-estilometrico-gran-dano-gran-remedio,
CORDERO_AGrandeAgravioGranVenganza(Transk-IMPR),A grande agravio gran venganza,grande-agravio-gran-venganza,automatic,grande-agravio-gran-venganza,,https://etso.es/informes/analisis-estilometrico-grande-agravio-gran-venganza,
CUENCA_AIgualAgravioNoHayDuelo(Transk-IMPR),A igual agravio no hay duelo,igual-agravio-no-hay-duelo,automatic,igual-agravio-no-hay-duelo,,https://etso.es/informes/analisis-estilometrico-igual-agravio-no-hay-duelo,
MONTALBAN_ALoHechoNoHayRemedio,A lo hecho no hay remedio,lo-hecho-no-hay-remedio,automatic,lo-hecho-no-hay-remedio,,https://etso.es/informes/analisis-estilometrico-lo-hecho-no-hay-remedio,
SALADO_ALoQueObligaElDesden(Transk-IMPR),A lo que obliga el desdén,lo-que-obliga-el-desden,automatic,lo-que-obliga-el-desden,,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-desden,
ENRIQUEZ_ALoQueObligaElHonor,A lo que obliga el honor,lo-que-obliga-el-honor,automatic,lo-que-obliga-el-honor,,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-honor,
VELEZ_ALoQueObligaSerElRey,A lo que obliga el ser rey,lo-que-obliga-el-ser-rey,automatic,lo-que-obliga-el-ser-rey,,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-ser-rey,
ENRIQUEZ_ALoQueObliganLosCelos,A lo que obligan los celos,lo-que-obligan-los-celos,automatic,lo-que-obligan-los-celos,,https://etso.es/informes/analisis-estilometrico-lo-que-obligan-los-celos,
MATOS&VILLAVICIOSA_ALoQueObligaUnAgravio(Transk-IMPR),A lo que obliga un agravio o las hermanas bandoleras,lo-que-obliga-un-agravio-o-las-hermanas-bandoleras,automatic,lo-que-obliga-un-agravio-o-las-hermanas-bandoleras,,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-un-agravio-o-las-hermanas-bandoleras,
CALDERON_AMariaElCorazon(Auto),A María el corazón,maria-el-corazon,automatic,maria-el-corazon,,https://etso.es/informes/analisis-estilometrico-maria-el-corazon,
CALDERON_ASecretoAgravio,"A secreto agravio, secreta venganza",secreto-agravio-secreta-venganza,automatic,secreto-agravio-secreta-venganza,,https://etso.es/informes/analisis-estilometrico-secreto-agravio-secreta-venganza,
MATOS_ASuTiempoElDesengano(Transk-IMPR),A su tiempo el desengaño,su-tiempo-el-desengano,automatic,su-tiempo-el-desengano,,https://etso.es/informes/analisis-estilometrico-su-tiempo-el-desengano,
DESCONOCIDO_AUnTiempoEsclavoYSenor(Transk-IMPR),"A un tiempo esclavo y señor, y mágico africano",un-tiempo-esclavo-y-senor-y-magico-africano,automatic,un-tiempo-esclavo-y-senor-y-magico-africano,,https://etso.es/informes/analisis-estilometrico-un-tiempo-esclavo-y-senor-y-magico-africano,
BELMONTE&ALII_AUnTiempoRey(Transk-IMPR),A un tiempo rey y vasallo,un-tiempo-rey-y-vasallo,automatic,un-tiempo-rey-y-vasallo,,https://etso.es/informes/analisis-estilometrico-un-tiempo-rey-y-vasallo,
