work_id,slug
DESCONOCIDO_AAveriguadosCelosNoHayPrudencia(Transk-MSS),averiguados-celos-no-hay-prudencia
ENRIQUEZdudosa_ACadaPasoUnPeligro,cada-paso-un-peligro
CALDERON_ADiosPorRazon(Auto),dios-por-razon-de-estado
DESCONOCIDO_AFaltaDeHechiceros(Transk-IMPR),falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de
VILLAIZAN_AGranDanoGranRemedio(Transk-IMPR),gran-dano-gran-remedio
CORDERO_AGrandeAgravioGranVenganza(Transk-IMPR),grande-agravio-gran-venganza
CUENCA_AIgualAgravioNoHayDuelo(Transk-IMPR),igual-agravio-no-hay-duelo
MONTALBAN_ALoHechoNoHayRemedio,lo-hecho-no-hay-remedio
SALADO_ALoQueObligaElDesden(Transk-IMPR),lo-que-obliga-el-desden
ENRIQUEZ_ALoQueObligaElHonor,lo-que-obliga-el-honor
VELEZ_ALoQueObligaSerElRey,lo-que-obliga-el-ser-rey
ENRIQUEZ_ALoQueObliganLosCelos,lo-que-obligan-los-celos
MATOS&VILLAVICIOSA_ALoQueObligaUnAgravio(Transk-IMPR),lo-que-obliga-un-agravio-o-las-hermanas-bandoleras
CALDERON_AMariaElCorazon(Auto),maria-el-corazon
CALDERON_ASecretoAgravio,secreto-agravio-secreta-venganza
MATOS_ASuTiempoElDesengano(Transk-IMPR),su-tiempo-el-desengano
DESCONOCIDO_AUnTiempoEsclavoYSenor(Transk-IMPR),un-tiempo-esclavo-y-senor-y-magico-africano
BELMONTE&ALII_AUnTiempoRey(Transk-IMPR),un-tiempo-rey-y-vasallo
GONZALEZ-CUNEDO_AUnTraidorDosAlevosos(Transk-IMPR),un-traidor-dos-alevosos
QUINONES_Abadejillo(Entremes),el-abadejillo
VELEZ_AbadesaDelCielo(Auto),la-abadesa-del-cielo
LOPE_Abanillo,el-abanillo
CANIZARES_AbogarPorSuOfensor(Transk-IMPR),abogar-por-su-ofensor-y-baron-del-pinel
MONTALBAN_AborrecerLoqueQuiere(Transk-IMPR),aborrecer-lo-que-quiere
HOZ_AbrahamCastellano(Transk-IMPR),abraham-castellano-y-blason-de-los-guzmanes
DESCONOCIDO_AbrahamDelYermo(Transk-MSS),abraham-del-yermo
ROJAS_AbrirElOjo,abrir-el-ojo
MORALES_AcademiasDeAmor,las-academias-de-amor
LOPE_AceroDeMadrid,el-acero-de-madrid
GODINEZ_AcertarDeTresLaUna(Transk-IMPR),acertar-de-tres-la-una
LOPE_AcertarErrando,acertar-errando
LOPEdudosa_AchaquesDeLeonor,los-achaques-de-leonor
VIVAS_AciagoMasDichoso(PrimeraParte)(Transk-MSS),el-aciago-mas-dichoso-primera-parte
VIVAS_AciagoMasDichoso(SegundaParte)(Transk-MSS),el-aciago-mas-dichoso-segunda-parte
BELMONTE_AciertoEnElEngano,el-acierto-en-el-engano
CANIZARES_AcisYGalatea(Zarzuela)(Transk-MSS),acis-y-galatea
ALARCON_DonDomingoDeDonBlas(SegundaParte),el-acomodado-don-domingo-de-don-blas-segunda-parte
LOPE_AcreedoresDelHombre(Auto)(Transk-IMPR),los-acreedores-del-hombre
ROJAS_AcreedoresDelHombre(Auto),los-acreedores-del-hombre-0
DESCONOCIDO_AcrisolarSuLeltad(Transk-IMPR),acrisolar-la-lealtad-la-vista-del-rigor-por-fama-padre-y-amor
MONROY_ActeonYDiana(Transk-IMPR),acteon-y-diana
CANIZARES_AdonisyVenus(Transk-MSS),adonis-y-venus-0
LOPE_AdonisYVenus,adonis-y-venus
GENIS_AdquirirParaReinar(Transk-IMPR),adquirir-para-reinar-triunfos-de-felipe-v-y-gloria-de-gabriela
MIRAdudosa_AdversaFortunaDeDonBernardo,la-adversa-fortuna-de-don-bernardo-de-cabrera
MIRA_AdversaFortunaDeDonAlvaro,la-adversa-fortuna-de-don-alvaro-de-luna
SALUCIO_AdversaFortuna,la-adversa-fortuna-del-muy-noble-caballero-ruy-lopez-de-avalos-el
GRAJALES_AdversaFortunaDelCaballeroDelEspirituSanto(Transk-IMPR),la-adversa-fortuna-del-caballero-del-espiritu-santo
COELLO_AdulteraCastigada(Transk-IMPR),la-adultera-castigada
MORETO&CANCER&MATOS_AdulteraPenitente,la-adultera-penitente-santa-teodora
LOPE_AdulteraPerdonada(Auto),la-adultera-perdonada
MIRAdudosa_AdulteraVirtuosa,la-adultera-virtuosa
BELMONTE_AfanadorDeUtrera,el-afanador-de-utrera
CALDERON_AfectosDeOdioYAmor,afectos-de-odio-y-amor
LANINI&VILLARROEL_AfricanoNeronMuleyIsmael(Transk-MSS),el-africano-neron-muley-ismael
CALDERON_AgradecerYNoAmar,agradecer-y-no-amar
REYES_AgravioAgradecido(Transk-IMPR),el-agravio-agradecido
CASTILLO_AgravioSatisfecho,el-agravio-satisfecho
DESCONOCIDO_AgraviosCastigados(Transk-MSS),los-agravios-castigados
VELEZ_AgraviosPerdonados,los-agravios-perdonados
DESCONOCIDO_AgraviosSatisfechosDelDesengano(Transk-IMPR),los-agravios-satisfechos-del-desengano-y-la-muerte
NAJERA_AguaDeMejorVida(Auto)(Transk-MSS),el-agua-de-mejor-vida
MORETOdudosa_Aguador(Entremes),el-aguador
ORTI_AireTierraYMarSonFuego,aire-tierra-y-mar-son-fuego
PAZ_AlNobleSuSangreAvisa(Transk-IMPR),al-noble-su-sangre-avisa
LOPE_AlPasarDelArroyo,al-pasar-del-arroyo
MONROY_AlamedaDeSevilla(Transk-IMPR),la-alameda-de-sevilla-y-recato-en-el-amor
VIDAL_AlamedaDeValencia(Transk-MSS),la-alameda-de-valencia-y-confusion-de-un-paseo
CALDERONdudosa_AlbaConSieteSoles(Transk-IMPR),el-alba-con-siete-soles
VELEZ_AlbaYElSol,el-alba-y-el-sol
DESCONOCIDO_AlboresDeLaRosa(Transk-IMPR),los-albores-de-la-rosa
LOPE_AlbriciasDeNuestraSenora(Auto)(Transk-MSS),las-albricias-de-nuestra-senora
LOPE_AlcaideDeMadrid,el-alcaide-de-madrid
CALDERON_AlcaideDeSiMismo,alcaide-de-si-mismo-el
CALDERON_AlcaldeDeZalamea,alcalde-de-zalamea-el
LOPEdudosa_AlcaldeDeZalamea,el-alcalde-de-zalamea
LOPE_AlcaldeMayor,el-alcalde-mayor
DESCONOCIDO_AlcidesDeLaMancha(Transk-IMPR),el-alcides-de-la-mancha-y-famoso-don-quijote
SOLIS_AlcazarDelSecreto,el-alcazar-del-secreto
LOPEdudosa_Aldehuela,la-aldehuela
LOPEdudosa_AlejandroElSegundo,alejandro-el-segundo
DIAMANTE_AlfeoYAretusa,alfeo-y-aretusa
PACHECO_AlferezDeCristo(Transk-MSS),alferez-de-cristo-el
MIRA&ALII_AlgunasHazanas,algunas-hazanas-de-las-muchas-de-don-garcia-hurtado-de-mendoza
CALDERON_AlimentosDelHombre(Auto),los-alimentos-del-hombre
LOPEdudosa_AllaDarasRayo,alla-daras-rayo
CASTRO_AllaVanLeyes(Transk-IMPR),alla-van-leyes-donde-quieren-reyes
LOPE_AlmenasDeToro,las-almenas-de-toro
CALDERON_AmadoYAborrecido,amado-y-aborrecido
LEIVA_AmadisYNiquea(Transk-IMPR),amadis-y-niquea
LOPE_AmanteAgradecido,el-amante-agradecido
