review_type,group,work_id,titulo,otrostitulos,autoria_tradicional,autoria_estilometrica,automatic_slug,generated_slug,old_slug_candidates,old_title_candidates,evidence
exact-title-duplicate,title:cada-paso-un-peligro; base:analisis-estilometrico-cada-paso-un-peligro; old-title:cada-paso-un-peligro,ENRIQUEZdudosa_ACadaPasoUnPeligro,A cada paso un peligro,,enriquez_gomez_antonio,enriquez_gomez_antonio[segura],analisis-estilometrico-cada-paso-un-peligro,analisis-estilometrico-cada-paso-un-peligro,analisis-estilometrico-cada-paso-un-peligro [A cada paso un peligro]; analisis-estilometrico-cada-paso-un-peligro-0 [A cada paso un peligro],A cada paso un peligro | A cada paso un peligro,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:cada-paso-un-peligro; base:analisis-estilometrico-cada-paso-un-peligro; old-title:cada-paso-un-peligro,FIGUEROA-DIEGO_ACadaPasoUnPeligro(Transk-IMPR),A cada paso un peligro,,figueroa_y_cordova_diego,enriquez_gomez_antonio[probable],analisis-estilometrico-cada-paso-un-peligro-0,analisis-estilometrico-cada-paso-un-peligro-0,analisis-estilometrico-cada-paso-un-peligro [A cada paso un peligro]; analisis-estilometrico-cada-paso-un-peligro-0 [A cada paso un peligro],A cada paso un peligro | A cada paso un peligro,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-acreedores-del-hombre; base:analisis-estilometrico-los-acreedores-del-hombre; old-title:los-acreedores-del-hombre,LOPE_AcreedoresDelHombre(Auto)(Transk-IMPR),"Acreedores del hombre, Los",,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-los-acreedores-del-hombre,analisis-estilometrico-los-acreedores-del-hombre,"analisis-estilometrico-los-acreedores-del-hombre [Acreedores del hombre, Los]; analisis-estilometrico-los-acreedores-del-hombre-0 [Acreedores del hombre, Los]","Acreedores del hombre, Los | Acreedores del hombre, Los",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-acreedores-del-hombre; base:analisis-estilometrico-los-acreedores-del-hombre; old-title:los-acreedores-del-hombre,ROJAS_AcreedoresDelHombre(Auto),"Acreedores del hombre, Los",,rojas_zorrilla_francisco_de,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-los-acreedores-del-hombre-0,analisis-estilometrico-los-acreedores-del-hombre-0,"analisis-estilometrico-los-acreedores-del-hombre [Acreedores del hombre, Los]; analisis-estilometrico-los-acreedores-del-hombre-0 [Acreedores del hombre, Los]","Acreedores del hombre, Los | Acreedores del hombre, Los",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:adonis-y-venus; base:analisis-estilometrico-adonis-y-venus; old-title:adonis-y-venus,CANIZARES_AdonisyVenus(Transk-MSS),Adonis y Venus,,canizares_jose_de,canizares_jose_de[probable],analisis-estilometrico-adonis-y-venus,analisis-estilometrico-adonis-y-venus-0,analisis-estilometrico-adonis-y-venus-0 [Adonis y Venus]; analisis-estilometrico-adonis-y-venus [Adonis y Venus],Adonis y Venus | Adonis y Venus,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:adonis-y-venus; base:analisis-estilometrico-adonis-y-venus; old-title:adonis-y-venus,LOPE_AdonisYVenus,Adonis y Venus,,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-adonis-y-venus-0,analisis-estilometrico-adonis-y-venus,analisis-estilometrico-adonis-y-venus-0 [Adonis y Venus]; analisis-estilometrico-adonis-y-venus [Adonis y Venus],Adonis y Venus | Adonis y Venus,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-alcalde-de-zalamea; base:analisis-estilometrico-el-alcalde-de-zalamea; old-title:el-alcalde-de-zalamea,CALDERON_AlcaldeDeZalamea,"Alcalde de Zalamea, El",,calderon_de_la_barca_pedro,calderon_de_la_barca_pedro[segura],analisis-estilometrico-el-alcalde-de-zalamea,analisis-estilometrico-alcalde-de-zalamea-el,"analisis-estilometrico-el-alcalde-de-zalamea [Alcalde de Zalamea, El]; analisis-estilometrico-alcalde-de-zalamea-el [Alcalde de Zalamea, El]","Alcalde de Zalamea, El | Alcalde de Zalamea, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-alcalde-de-zalamea; base:analisis-estilometrico-el-alcalde-de-zalamea; old-title:el-alcalde-de-zalamea,LOPEdudosa_AlcaldeDeZalamea,"Alcalde de Zalamea, El",,vega_carpio_lope_de,vega_carpio_lope_de[probable],analisis-estilometrico-el-alcalde-de-zalamea-0,analisis-estilometrico-el-alcalde-de-zalamea,"analisis-estilometrico-el-alcalde-de-zalamea [Alcalde de Zalamea, El]; analisis-estilometrico-alcalde-de-zalamea-el [Alcalde de Zalamea, El]","Alcalde de Zalamea, El | Alcalde de Zalamea, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-amantes-de-teruel; base:analisis-estilometrico-los-amantes-de-teruel; old-title:los-amantes-de-teruel,MONTALBAN_AmantesDeTeruel,"Amantes de Teruel, Los",,perez_de_montalban_juan,perez_de_montalban_juan[segura],analisis-estilometrico-los-amantes-de-teruel,analisis-estilometrico-los-amantes-de-teruel-0,"analisis-estilometrico-los-amantes-de-teruel-0 [Amantes de Teruel, Los]; analisis-estilometrico-los-amantes-de-teruel [Amantes de Teruel, Los]; analisis-estilometrico-los-amantes-de-teruel-burlesca [Amantes de Teruel, Los (Burlesca)]","Amantes de Teruel, Los | Amantes de Teruel, Los | Amantes de Teruel, Los (Burlesca)",duplicate_title_count=2; duplicate_base_count=2; descriptor_candidates=yes
exact-title-duplicate,title:los-amantes-de-teruel; base:analisis-estilometrico-los-amantes-de-teruel; old-title:los-amantes-de-teruel,TIRSOdudosa_AmantesDeTeruel,"Amantes de Teruel, Los",,tirso_de_molina,velez_de_guevara_luis[probable],analisis-estilometrico-los-amantes-de-teruel-0,analisis-estilometrico-los-amantes-de-teruel,"analisis-estilometrico-los-amantes-de-teruel-0 [Amantes de Teruel, Los]; analisis-estilometrico-los-amantes-de-teruel [Amantes de Teruel, Los]; analisis-estilometrico-los-amantes-de-teruel-burlesca [Amantes de Teruel, Los (Burlesca)]","Amantes de Teruel, Los | Amantes de Teruel, Los | Amantes de Teruel, Los (Burlesca)",duplicate_title_count=2; duplicate_base_count=2; descriptor_candidates=yes
exact-title-duplicate,title:amor-y-obligacion; base:analisis-estilometrico-amor-y-obligacion; old-title:amor-y-obligacion,MORETO_AmorYObligacion,Amor y obligación,,moreto_y_cavana_agustin,moreto_y_cavana_agustin[segura],analisis-estilometrico-amor-y-obligacion,analisis-estilometrico-amor-y-obligacion-0,analisis-estilometrico-amor-y-obligacion-0 [Amor y obligación]; analisis-estilometrico-amor-y-obligacion [Amor y obligación],Amor y obligación | Amor y obligación,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:amor-y-obligacion; base:analisis-estilometrico-amor-y-obligacion; old-title:amor-y-obligacion,SOLIS_AmorYObligacion,Amor y obligación,,solis_y_rivadeneyra_antonio_de,solis_y_rivadeneyra_antonio_de[segura],analisis-estilometrico-amor-y-obligacion-0,analisis-estilometrico-amor-y-obligacion,analisis-estilometrico-amor-y-obligacion-0 [Amor y obligación]; analisis-estilometrico-amor-y-obligacion [Amor y obligación],Amor y obligación | Amor y obligación,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-angel-de-la-guarda; base:analisis-estilometrico-el-angel-de-la-guarda,CALDERONdudosa_AngelDeLaGuarda(Transk-IMPR),"Ángel de la guarda, El",,calderon_de_la_barca_pedro,belmonte_bermudez_luis_de[segura],analisis-estilometrico-el-angel-de-la-guarda,analisis-estilometrico-el-angel-de-la-guarda,"analisis-estilometrico-el-angel-de-la-guarda-0 [Ángel de la guarda, El]","Ángel de la guarda, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-angel-de-la-guarda; base:analisis-estilometrico-el-angel-de-la-guarda,VALDIVIELSO_AngelDeLaGuarda(Transk-MSS),"Ángel de la guarda, El",,valdivieso_jose_de,valdivieso_jose_de[segura],analisis-estilometrico-el-angel-de-la-guarda-0,analisis-estilometrico-el-angel-de-la-guarda-0,"analisis-estilometrico-el-angel-de-la-guarda-0 [Ángel de la guarda, El]","Ángel de la guarda, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:antonio-roca; base:analisis-estilometrico-antonio-roca; old-title:antonio-roca,DESCONOCIDO_AntonioRoca,Antonio Roca,,vega_carpio_lope_de,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-antonio-roca,analisis-estilometrico-antonio-roca-0,analisis-estilometrico-antonio-roca-0 [Antonio Roca]; analisis-estilometrico-antonio-roca [Antonio Roca],Antonio Roca | Antonio Roca,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:antonio-roca; base:analisis-estilometrico-antonio-roca; old-title:antonio-roca,LOPEdudosa_AntonioRoca,Antonio Roca,,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-antonio-roca-0,analisis-estilometrico-antonio-roca,analisis-estilometrico-antonio-roca-0 [Antonio Roca]; analisis-estilometrico-antonio-roca [Antonio Roca],Antonio Roca | Antonio Roca,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-arbol-del-mejor-fruto; base:analisis-estilometrico-el-arbol-del-mejor-fruto; old-title:el-arbol-del-mejor-fruto,CALDERON_ArbolDelMejorFruto(Auto),"Árbol del mejor fruto, El",,calderon_de_la_barca_pedro,calderon_de_la_barca_pedro[segura],analisis-estilometrico-el-arbol-del-mejor-fruto,analisis-estilometrico-el-arbol-del-mejor-fruto-0,"analisis-estilometrico-el-arbol-del-mejor-fruto [Árbol del mejor fruto, El]; analisis-estilometrico-el-arbol-del-mejor-fruto-0 [Árbol del mejor fruto, El]","Árbol del mejor fruto, El | Árbol del mejor fruto, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-arbol-del-mejor-fruto; base:analisis-estilometrico-el-arbol-del-mejor-fruto; old-title:el-arbol-del-mejor-fruto,TIRSO_ArbolDelMejorFruto,"Árbol del mejor fruto, El",,tirso_de_molina,tirso_de_molina[segura],analisis-estilometrico-el-arbol-del-mejor-fruto-0,analisis-estilometrico-el-arbol-del-mejor-fruto,"analisis-estilometrico-el-arbol-del-mejor-fruto [Árbol del mejor fruto, El]; analisis-estilometrico-el-arbol-del-mejor-fruto-0 [Árbol del mejor fruto, El]","Árbol del mejor fruto, El | Árbol del mejor fruto, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-arca-de-noe; base:analisis-estilometrico-el-arca-de-noe; old-title:el-arca-de-noe,LOPEdudosa_ArcaDeNoe,"Arca de Noé, El",,vega_carpio_lope_de,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-el-arca-de-noe,analisis-estilometrico-el-arca-de-noe,"analisis-estilometrico-el-arca-de-noe-0 [Arca de Noé, El]; analisis-estilometrico-el-arca-de-noe [Arca de Noé, El]","Arca de Noé, El | Arca de Noé, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-arca-de-noe; base:analisis-estilometrico-el-arca-de-noe; old-title:el-arca-de-noe,MARTINEZ&ROSETE&CANCER_ArcaDeNoe(Transk-IMPR),"Arca de Noé, El",,martinez_de_meneses_antonio AND rosete_nino_pedro AND cancer_jeronimo_de,rosete_nino_pedro[probable],analisis-estilometrico-el-arca-de-noe-0,analisis-estilometrico-el-arca-de-noe-0,"analisis-estilometrico-el-arca-de-noe-0 [Arca de Noé, El]; analisis-estilometrico-el-arca-de-noe [Arca de Noé, El]","Arca de Noé, El | Arca de Noé, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:las-burlas-veras; base:analisis-estilometrico-las-burlas-veras; old-title:las-burlas-veras,ARMENDARIZ_BurlasVeras,"Burlas veras, Las",,armendariz_julian_de,no_es_posible[sin_confianza],analisis-estilometrico-las-burlas-veras,analisis-estilometrico-las-burlas-veras-0,"analisis-estilometrico-las-burlas-veras-0 [Burlas veras, Las]; analisis-estilometrico-las-burlas-veras [Burlas veras, Las]","Burlas veras, Las | Burlas veras, Las",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:las-burlas-veras; base:analisis-estilometrico-las-burlas-veras; old-title:las-burlas-veras,LOPE_BurlasVeras,"Burlas veras, Las",,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-las-burlas-veras-0,analisis-estilometrico-las-burlas-veras,"analisis-estilometrico-las-burlas-veras-0 [Burlas veras, Las]; analisis-estilometrico-las-burlas-veras [Burlas veras, Las]","Burlas veras, Las | Burlas veras, Las",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-caballero-de-olmedo; base:analisis-estilometrico-el-caballero-de-olmedo,DESCONOCIDO_CaballeroDeOlmedo,"Caballero de Olmedo, El","Viuda por casar, La",desconocido,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-el-caballero-de-olmedo,analisis-estilometrico-el-caballero-de-olmedo-la-viuda-por-casar,"analisis-estilometrico-el-caballero-de-olmedo [Caballero de Olmedo, El]; analisis-estilometrico-el-caballero-de-olmedo-burlesca [Caballero de Olmedo, El (Burlesca)]","Caballero de Olmedo, El | Caballero de Olmedo, El (Burlesca)",duplicate_title_count=2; duplicate_base_count=2; descriptor_candidates=yes
exact-title-duplicate,title:el-caballero-de-olmedo; base:analisis-estilometrico-el-caballero-de-olmedo,LOPE_CaballeroDeOlmedo,"Caballero de Olmedo, El",,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-el-caballero-de-olmedo-0,analisis-estilometrico-el-caballero-de-olmedo,"analisis-estilometrico-el-caballero-de-olmedo [Caballero de Olmedo, El]; analisis-estilometrico-el-caballero-de-olmedo-burlesca [Caballero de Olmedo, El (Burlesca)]","Caballero de Olmedo, El | Caballero de Olmedo, El (Burlesca)",duplicate_title_count=2; duplicate_base_count=2; descriptor_candidates=yes
exact-title-duplicate,title:la-campana-de-aragon; base:analisis-estilometrico-la-campana-de-aragon; old-title:la-campana-de-aragon,BELMONTEdudosa_CampanaDeAragon,"Campana de Aragón, La",,belmonte_bermudez_luis_de AND martinez_de_meneses_antonio,martinez_de_meneses_antonio[probable] AND belmonte_bermudez_luis_de[probable] AND martinez_de_meneses_antonio[probable],analisis-estilometrico-la-campana-de-aragon,analisis-estilometrico-la-campana-de-aragon,"analisis-estilometrico-la-campana-de-aragon-0 [Campana de Aragón, La]; analisis-estilometrico-la-campana-de-aragon [Campana de Aragón, La]","Campana de Aragón, La | Campana de Aragón, La",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:la-campana-de-aragon; base:analisis-estilometrico-la-campana-de-aragon; old-title:la-campana-de-aragon,LOPE_CampanaDeAragon,"Campana de Aragón, La",,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-la-campana-de-aragon-0,analisis-estilometrico-la-campana-de-aragon-0,"analisis-estilometrico-la-campana-de-aragon-0 [Campana de Aragón, La]; analisis-estilometrico-la-campana-de-aragon [Campana de Aragón, La]","Campana de Aragón, La | Campana de Aragón, La",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:las-canas-en-el-papel-y-dudoso-en-la-venganza; base:analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza; old-title:las-canas-en-el-papel-y-dudoso-en-la-venganza,CALDERONdudosa_CanasEnElPapel(Transk-IMPR),"Canas en el papel y dudoso en la venganza, Las",,calderon_de_la_barca_pedro,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza,analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza,"analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza [Canas en el papel y dudoso en la venganza, Las]; analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza-0 [Canas en el papel y dudoso en la venganza, Las]","Canas en el papel y dudoso en la venganza, Las | Canas en el papel y dudoso en la venganza, Las",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:las-canas-en-el-papel-y-dudoso-en-la-venganza; base:analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza; old-title:las-canas-en-el-papel-y-dudoso-en-la-venganza,CASTROdudosa_CanasEnElPapel,"Canas en el papel y dudoso en la venganza, Las",,castro_y_bellvis_guillen_de,castro_y_bellvis_guillen_de[segura],analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza-0,analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza-0,"analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza [Canas en el papel y dudoso en la venganza, Las]; analisis-estilometrico-las-canas-en-el-papel-y-dudoso-en-la-venganza-0 [Canas en el papel y dudoso en la venganza, Las]","Canas en el papel y dudoso en la venganza, Las | Canas en el papel y dudoso en la venganza, Las",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:cefalo-y-pocris; base:analisis-estilometrico-cefalo-y-pocris; old-title:cefalo-y-pocris,CALDERON_CefaloYPocris,Céfalo y Pocris,,calderon_de_la_barca_pedro,calderon_de_la_barca_pedro[segura],analisis-estilometrico-cefalo-y-pocris,analisis-estilometrico-cefalo-y-pocris,analisis-estilometrico-cefalo-y-pocris-0 [Céfalo y Pocris]; analisis-estilometrico-cefalo-y-pocris [Céfalo y Pocris],Céfalo y Pocris | Céfalo y Pocris,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:cefalo-y-pocris; base:analisis-estilometrico-cefalo-y-pocris; old-title:cefalo-y-pocris,SALAZAR_CefaloYProcris(Transk-IMPR),Céfalo y Pocris,,salazar_y_torres_agustin_de,salazar_y_torres_agustin_de[segura],analisis-estilometrico-cefalo-y-pocris-0,analisis-estilometrico-cefalo-y-pocris-0,analisis-estilometrico-cefalo-y-pocris-0 [Céfalo y Pocris]; analisis-estilometrico-cefalo-y-pocris [Céfalo y Pocris],Céfalo y Pocris | Céfalo y Pocris,duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-celos-de-rodamonte; base:analisis-estilometrico-los-celos-de-rodamonte; old-title:los-celos-de-rodamonte,LOPE_CelosDeRodamonte,"Celos de Rodamonte, Los",,vega_carpio_lope_de,vega_carpio_lope_de[segura],analisis-estilometrico-los-celos-de-rodamonte,analisis-estilometrico-los-celos-de-rodamonte,"analisis-estilometrico-los-celos-de-rodamonte [Celos de Rodamonte, Los]; analisis-estilometrico-los-celos-de-rodamonte-0 [Celos de Rodamonte, Los]","Celos de Rodamonte, Los | Celos de Rodamonte, Los",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-celos-de-rodamonte; base:analisis-estilometrico-los-celos-de-rodamonte; old-title:los-celos-de-rodamonte,ROJAS_CelosDeRodamonte,"Celos de Rodamonte, Los",,rojas_zorrilla_francisco_de,rojas_zorrilla_francisco_de[segura],analisis-estilometrico-los-celos-de-rodamonte-0,analisis-estilometrico-los-celos-de-rodamonte-0,"analisis-estilometrico-los-celos-de-rodamonte [Celos de Rodamonte, Los]; analisis-estilometrico-los-celos-de-rodamonte-0 [Celos de Rodamonte, Los]","Celos de Rodamonte, Los | Celos de Rodamonte, Los",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-celos-de-san-jose; base:analisis-estilometrico-los-celos-de-san-jose; old-title:los-celos-de-san-jose,MIRA_CelosDeSanJose(Auto),"Celos de San José, Los",,mira_de_amescua_antonio,mira_de_amescua_antonio[probable],analisis-estilometrico-los-celos-de-san-jose,analisis-estilometrico-los-celos-de-san-jose-0,"analisis-estilometrico-los-celos-de-san-jose-0 [Celos de San José, Los]; analisis-estilometrico-los-celos-de-san-jose [Celos de San José, Los]","Celos de San José, Los | Celos de San José, Los",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:los-celos-de-san-jose; base:analisis-estilometrico-los-celos-de-san-jose; old-title:los-celos-de-san-jose,MONROY_CelosDeSanJose(Transk-IMPR),"Celos de San José, Los",,monroy_y_silva_cristobal_de,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-los-celos-de-san-jose-0,analisis-estilometrico-los-celos-de-san-jose,"analisis-estilometrico-los-celos-de-san-jose-0 [Celos de San José, Los]; analisis-estilometrico-los-celos-de-san-jose [Celos de San José, Los]","Celos de San José, Los | Celos de San José, Los",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-cerco-de-tunez; base:analisis-estilometrico-el-cerco-de-tunez,DESCONOCIDO_CercoDeTunez(Transk-MSS),"Cerco de Túnez, El",,desconocido,no_apunta_a_ningun_autor[sin_confianza],analisis-estilometrico-el-cerco-de-tunez,analisis-estilometrico-el-cerco-de-tunez,"analisis-estilometrico-el-cerco-de-tunez [Cerco de Túnez, El]","Cerco de Túnez, El",duplicate_title_count=2; duplicate_base_count=2
exact-title-duplicate,title:el-cerco-de-tunez; base:analisis-estilometrico-el-cerco-de-tunez,SANCHEZ-JUAN_CercoDeTunez(Transk-IMPR),"Cerco de Túnez, El",,sanchez_juan,sanchez_juan[probable],analisis-estilometrico-el-cerco-de-tunez-0,analisis-estilometrico-el-cerco-de-tunez-0,"analisis-estilometrico-el-cerco-de-tunez [Cerco de Túnez, El]","Cerco de Túnez, El",duplicate_title_count=2; duplicate_base_count=2
