review_category,work_id,title,current_slug,automatic_slug,desired_or_candidate_slug,old_url_candidates,collision_with,why_review,action_needed
changed-probable,CALDERONdudosa_AngelDeLaGuarda(Transk-IMPR),"Ángel de la guarda, El",el-angel-de-la-guarda,el-angel-de-la-guarda,el-angel-de-la-guarda-0,https://etso.es/informes/analisis-estilometrico-el-angel-de-la-guarda-0,"el-angel-de-la-guarda-0 => VALDIVIELSO_AngelDeLaGuarda(Transk-MSS) (Ángel de la guarda, El)","el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,ROJO_AntiocoYSeleuco(Burlesca)(Transk-MSS),Antioco y Seleuco (Burlesca),antioco-y-seleuco-burlesca,antioco-y-seleuco-burlesca,antioco-y-seleuco,https://etso.es/informes/analisis-estilometrico-antioco-y-seleuco,antioco-y-seleuco => MORETO_AntiocoYSeleuco (Antíoco y Seleuco),"la diferencia depende de un descriptor como version, auto, burlesca o similar",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,RAMOS-CASTILLO_AutoSacramental(Otro1)(Auto)(Transk-IMPR),Auto Sacramental (Emp: Señor galán embozado),auto-sacramental-emp-senor-galan-embozado,auto-sacramental-emp-senor-galan-embozado,auto-sacramental-otro; auto-sacramental,https://etso.es/informes/analisis-estilometrico-auto-sacramental-otro; https://etso.es/informes/analisis-estilometrico-auto-sacramental,auto-sacramental-otro => RAMOS-CASTILLO_AutoSacramental(Otro)(Auto)(Transk-IMPR) (Auto Sacramental (Emp: Por la verde maleza)) | auto-sacramental => RAMOS-CASTILLO_AutoSacramental(Auto)(Transk-IMPR) (Auto Sacramental (Emp: Ya se despedía el mayo)),"la diferencia depende de un descriptor como version, auto, burlesca o similar",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,SANCHEZ-JUAN_CercoDeTunez(Transk-IMPR),"Cerco de Túnez, El",el-cerco-de-tunez-0,el-cerco-de-tunez-0,el-cerco-de-tunez,https://etso.es/informes/analisis-estilometrico-el-cerco-de-tunez,"el-cerco-de-tunez => DESCONOCIDO_CercoDeTunez(Transk-MSS) (Cerco de Túnez, El)","el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,DESCONOCIDO_DosLucerosDeOriente(OtraVersion)(Transk-MSS),"Dos luceros de Oriente, Los (otra versión)",los-dos-luceros-de-oriente-otra-version,los-dos-luceros-de-oriente-otra-version,los-dos-luceros-de-oriente,https://etso.es/informes/analisis-estilometrico-los-dos-luceros-de-oriente,"los-dos-luceros-de-oriente => DESCONOCIDO_DosLucerosDeOriente(Transk-MSS) (Dos luceros de Oriente, Los)","la diferencia depende de un descriptor como version, auto, burlesca o similar",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,DESCONOCIDO_InclinacionEspanola,"Inclinación española, La",la-inclinacion-espanola-0,la-inclinacion-espanola-0,la-inclinacion-espanola,https://etso.es/informes/analisis-estilometrico-la-inclinacion-espanola,"la-inclinacion-espanola => BANCES_InclinacionEspanola(Transk-IMPR) (Inclinación española, La)","el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,LOPEZ-CASTRO_MarcoAntonio(Transk-MSS),Marco Antonio y Cleopatra,marco-antonio-y-cleopatra-0,marco-antonio-y-cleopatra,marco-antonio-y-cleopatra,https://etso.es/informes/analisis-estilometrico-marco-antonio-y-cleopatra,marco-antonio-y-cleopatra => CALDERONdudosa_MarcoAntonioYCleopatra(Transk-IMPR) (Marco Antonio y Cleopatra),"el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,CANIZARES_MasAmadaDeCristo(PrimeraParte)(Transk-IMPR),"Más amada de Cristo, santa Gertrudis la Magna, La",la-mas-amada-de-cristo-santa-gertrudis-la-magna,la-mas-amada-de-cristo-santa-gertrudis-la-magna,la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte,https://etso.es/informes/analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte,"la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte => CANIZARES_MasAmadaDeCristo(SegundaParte)(Transk-IMPR) (Más amada de Cristo, santa Gertrudis la Magna, La (segunda parte))","la diferencia depende de un descriptor como version, auto, burlesca o similar",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,VELEZ_NoviosDeHornachuelos(VersionManuscrito),"Novios de Hornachuelos, Los (Mss/15429)",los-novios-de-hornachuelos-mss-15429,los-novios-de-hornachuelos-mss-15429,los-novios-de-hornachuelos,https://etso.es/informes/analisis-estilometrico-los-novios-de-hornachuelos,"los-novios-de-hornachuelos => LOPEdudosa_NoviosDeHornachuelos (Novios de Hornachuelos, Los)","la diferencia depende de un descriptor como version, auto, burlesca o similar",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,DESCONOCIDO(2)_PadrinoDeSuAfrenta,"Padrino de su afrenta, El",el-padrino-de-su-afrenta-0,el-padrino-de-su-afrenta-0,el-padrino-de-su-afrenta,https://etso.es/informes/analisis-estilometrico-el-padrino-de-su-afrenta,"el-padrino-de-su-afrenta => DESCONOCIDO_PadrinoDeSuAfrenta(Transk-MSS) (Padrino de su afrenta, El)","el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,MORETO_Parecido(RefundicionPosterior),"Parecido, El (Refundición posterior)",el-parecido-refundicion-posterior,el-parecido-refundicion-posterior,el-parecido,https://etso.es/informes/analisis-estilometrico-el-parecido,"el-parecido => MORETO_Parecido (Parecido, El)","el titulo coincide con una URL antigua, pero el slug actual es distinto; la diferencia depende de un descriptor como version, auto, burlesca o similar",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,CALDERON_PintorDeSuDeshonra(Auto),"Pintor de su deshonra, El",el-pintor-de-su-deshonra-0,el-pintor-de-su-deshonra-0,el-pintor-de-su-deshonra,https://etso.es/informes/analisis-estilometrico-el-pintor-de-su-deshonra,"el-pintor-de-su-deshonra => CALDERON_PintorDeSuDeshonra (Pintor de su deshonra, El)","el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,FERNANDEZ-MESA_SilvasYAyalas(Transk-MSS),"Silvas y Ayalas, Los",los-silvas-y-ayalas,los-silvas-y-ayalas,cada-uno-con-su-igual,https://etso.es/informes/analisis-estilometrico-cada-uno-con-su-igual,cada-uno-con-su-igual => MESA-BLAS_CadaUnoConSuIgual(Transk-IMPR) (Cada uno con su igual),la URL antigua parece corresponder a un titulo alternativo en otrostitulos,decidir que obra conserva ese slug; en DB cada slug debe ser unico
changed-probable,MORETOdudosa_TravesurasSonValor(Transk-IMPR),Travesuras son valor,travesuras-son-valor-0,travesuras-son-valor-0,travesuras-son-valor,https://etso.es/informes/analisis-estilometrico-travesuras-son-valor,travesuras-son-valor => CALDERONdudosa_TravesurasSonValor(Transk-IMPR) (Travesuras son valor),"el titulo coincide con una URL antigua, pero el slug actual es distinto",decidir que obra conserva ese slug; en DB cada slug debe ser unico
