work_id,title,old_url,new_url,slug
DESCONOCIDO_AAveriguadosCelosNoHayPrudencia(Transk-MSS),A averiguados celos no hay prudencia,https://etso.es/informes/analisis-estilometrico-averiguados-celos-no-hay-prudencia,https://etso.es/informes/analisis-estilometrico-averiguados-celos-no-hay-prudencia,analisis-estilometrico-averiguados-celos-no-hay-prudencia
ENRIQUEZdudosa_ACadaPasoUnPeligro,A cada paso un peligro,https://etso.es/informes/analisis-estilometrico-cada-paso-un-peligro,https://etso.es/informes/analisis-estilometrico-cada-paso-un-peligro,analisis-estilometrico-cada-paso-un-peligro
CALDERON_ADiosPorRazon(Auto),A Dios por razón de estado,https://etso.es/informes/analisis-estilometrico-dios-por-razon-de-estado,https://etso.es/informes/analisis-estilometrico-dios-por-razon-de-estado,analisis-estilometrico-dios-por-razon-de-estado
DESCONOCIDO_AFaltaDeHechiceros(Transk-IMPR),A falta de hechiceros lo quieren ser los gallegos y asombro de Salamanca,https://etso.es/informes/analisis-estilometrico-falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de,https://etso.es/informes/analisis-estilometrico-falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de,analisis-estilometrico-falta-de-hechiceros-lo-quieren-ser-los-gallegos-y-asombro-de
VILLAIZAN_AGranDanoGranRemedio(Transk-IMPR),A gran daño gran remedio,https://etso.es/informes/analisis-estilometrico-gran-dano-gran-remedio,https://etso.es/informes/analisis-estilometrico-gran-dano-gran-remedio,analisis-estilometrico-gran-dano-gran-remedio
CORDERO_AGrandeAgravioGranVenganza(Transk-IMPR),A grande agravio gran venganza,https://etso.es/informes/analisis-estilometrico-grande-agravio-gran-venganza,https://etso.es/informes/analisis-estilometrico-grande-agravio-gran-venganza,analisis-estilometrico-grande-agravio-gran-venganza
CUENCA_AIgualAgravioNoHayDuelo(Transk-IMPR),A igual agravio no hay duelo,https://etso.es/informes/analisis-estilometrico-igual-agravio-no-hay-duelo,https://etso.es/informes/analisis-estilometrico-igual-agravio-no-hay-duelo,analisis-estilometrico-igual-agravio-no-hay-duelo
MONTALBAN_ALoHechoNoHayRemedio,A lo hecho no hay remedio,https://etso.es/informes/analisis-estilometrico-lo-hecho-no-hay-remedio,https://etso.es/informes/analisis-estilometrico-lo-hecho-no-hay-remedio,analisis-estilometrico-lo-hecho-no-hay-remedio
SALADO_ALoQueObligaElDesden(Transk-IMPR),A lo que obliga el desdén,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-desden,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-desden,analisis-estilometrico-lo-que-obliga-el-desden
ENRIQUEZ_ALoQueObligaElHonor,A lo que obliga el honor,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-honor,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-honor,analisis-estilometrico-lo-que-obliga-el-honor
VELEZ_ALoQueObligaSerElRey,A lo que obliga el ser rey,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-ser-rey,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-el-ser-rey,analisis-estilometrico-lo-que-obliga-el-ser-rey
ENRIQUEZ_ALoQueObliganLosCelos,A lo que obligan los celos,https://etso.es/informes/analisis-estilometrico-lo-que-obligan-los-celos,https://etso.es/informes/analisis-estilometrico-lo-que-obligan-los-celos,analisis-estilometrico-lo-que-obligan-los-celos
MATOS&VILLAVICIOSA_ALoQueObligaUnAgravio(Transk-IMPR),A lo que obliga un agravio o las hermanas bandoleras,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-un-agravio-o-las-hermanas-bandoleras,https://etso.es/informes/analisis-estilometrico-lo-que-obliga-un-agravio-o-las-hermanas-bandoleras,analisis-estilometrico-lo-que-obliga-un-agravio-o-las-hermanas-bandoleras
CALDERON_AMariaElCorazon(Auto),A María el corazón,https://etso.es/informes/analisis-estilometrico-maria-el-corazon,https://etso.es/informes/analisis-estilometrico-maria-el-corazon,analisis-estilometrico-maria-el-corazon
CALDERON_ASecretoAgravio,"A secreto agravio, secreta venganza",https://etso.es/informes/analisis-estilometrico-secreto-agravio-secreta-venganza,https://etso.es/informes/analisis-estilometrico-secreto-agravio-secreta-venganza,analisis-estilometrico-secreto-agravio-secreta-venganza
MATOS_ASuTiempoElDesengano(Transk-IMPR),A su tiempo el desengaño,https://etso.es/informes/analisis-estilometrico-su-tiempo-el-desengano,https://etso.es/informes/analisis-estilometrico-su-tiempo-el-desengano,analisis-estilometrico-su-tiempo-el-desengano
DESCONOCIDO_AUnTiempoEsclavoYSenor(Transk-IMPR),"A un tiempo esclavo y señor, y mágico africano",https://etso.es/informes/analisis-estilometrico-un-tiempo-esclavo-y-senor-y-magico-africano,https://etso.es/informes/analisis-estilometrico-un-tiempo-esclavo-y-senor-y-magico-africano,analisis-estilometrico-un-tiempo-esclavo-y-senor-y-magico-africano
BELMONTE&ALII_AUnTiempoRey(Transk-IMPR),A un tiempo rey y vasallo,https://etso.es/informes/analisis-estilometrico-un-tiempo-rey-y-vasallo,https://etso.es/informes/analisis-estilometrico-un-tiempo-rey-y-vasallo,analisis-estilometrico-un-tiempo-rey-y-vasallo
GONZALEZ-CUNEDO_AUnTraidorDosAlevosos(Transk-IMPR),A un traidor dos alevosos,https://etso.es/informes/analisis-estilometrico-un-traidor-dos-alevosos,https://etso.es/informes/analisis-estilometrico-un-traidor-dos-alevosos,analisis-estilometrico-un-traidor-dos-alevosos
QUINONES_Abadejillo(Entremes),"Abadejillo, El",https://etso.es/informes/analisis-estilometrico-el-abadejillo,https://etso.es/informes/analisis-estilometrico-el-abadejillo,analisis-estilometrico-el-abadejillo
VELEZ_AbadesaDelCielo(Auto),"Abadesa del cielo, La",https://etso.es/informes/analisis-estilometrico-la-abadesa-del-cielo,https://etso.es/informes/analisis-estilometrico-la-abadesa-del-cielo,analisis-estilometrico-la-abadesa-del-cielo
LOPE_Abanillo,"Abanillo, El",https://etso.es/informes/analisis-estilometrico-el-abanillo,https://etso.es/informes/analisis-estilometrico-el-abanillo,analisis-estilometrico-el-abanillo
