work_id,title,otrostitulos,new_url,slug
VIVAS_AciagoMasDichoso(PrimeraParte)(Transk-MSS),"Aciago más dichoso, El (primera parte)",,https://etso.es/informes/analisis-estilometrico-el-aciago-mas-dichoso-primera-parte,analisis-estilometrico-el-aciago-mas-dichoso-primera-parte
VIVAS_AciagoMasDichoso(SegundaParte)(Transk-MSS),"Aciago más dichoso, El (segunda parte)",,https://etso.es/informes/analisis-estilometrico-el-aciago-mas-dichoso-segunda-parte,analisis-estilometrico-el-aciago-mas-dichoso-segunda-parte
GENIS_AdquirirParaReinar(Transk-IMPR),"Adquirir para reinar, triunfos de Felipe V y gloria de Gabriela",,https://etso.es/informes/analisis-estilometrico-adquirir-para-reinar-triunfos-de-felipe-v-y-gloria-de-gabriela,analisis-estilometrico-adquirir-para-reinar-triunfos-de-felipe-v-y-gloria-de-gabriela
LANINI&VILLARROEL_AfricanoNeronMuleyIsmael(Transk-MSS),"Africano Nerón, Muley Ismael, El",,https://etso.es/informes/analisis-estilometrico-el-africano-neron-muley-ismael,analisis-estilometrico-el-africano-neron-muley-ismael
VIDAL_AlamedaDeValencia(Transk-MSS),"Alameda de Valencia y confusión de un paseo, La",,https://etso.es/informes/analisis-estilometrico-la-alameda-de-valencia-y-confusion-de-un-paseo,analisis-estilometrico-la-alameda-de-valencia-y-confusion-de-un-paseo
LOPEdudosa_AllaDarasRayo,"Allá darás, rayo","A firma de labios, fuerza de brazos",https://etso.es/informes/analisis-estilometrico-alla-daras-rayo,analisis-estilometrico-alla-daras-rayo
CALDERON_AmarDespuesDeLaMuerte,Amar después de la muerte,"Tuzaní de las Alpujarras, El",https://etso.es/informes/analisis-estilometrico-amar-despues-de-la-muerte,analisis-estilometrico-amar-despues-de-la-muerte
LOPEdudosa_AmigosEnojados,"Amigos enojados, Los",,https://etso.es/informes/analisis-estilometrico-los-amigos-enojados,analisis-estilometrico-los-amigos-enojados
LOPEdudosa_AmorBandolero,"Amor bandolero, El",,https://etso.es/informes/analisis-estilometrico-el-amor-bandolero,analisis-estilometrico-el-amor-bandolero
DESCONOCIDO_AmorDestronaMonarcas(Transk-IMPR),Amor destrona monarcas y rey muerto por amor,,https://etso.es/informes/analisis-estilometrico-amor-destrona-monarcas-y-rey-muerto-por-amor,analisis-estilometrico-amor-destrona-monarcas-y-rey-muerto-por-amor
VIDAL_AmorEsEsclavitud(Transk-MSS),Amor es esclavitud,,https://etso.es/informes/analisis-estilometrico-amor-es-esclavitud,analisis-estilometrico-amor-es-esclavitud
LLAMOSAS_AmorIndustriaYPoder(Transk-IMPR),"Amor, industria y poder",,https://etso.es/informes/analisis-estilometrico-amor-industria-y-poder,analisis-estilometrico-amor-industria-y-poder
MATOS_AmorLealtadYVentura,"Amor, lealtad y ventura",,https://etso.es/informes/analisis-estilometrico-amor-lealtad-y-ventura,analisis-estilometrico-amor-lealtad-y-ventura
DESCONOCIDO_AmoresDelAlma(Auto)(Transk-MSS),Amores del alma con el príncipe de la luz,,https://etso.es/informes/analisis-estilometrico-amores-del-alma-con-el-principe-de-la-luz,analisis-estilometrico-amores-del-alma-con-el-principe-de-la-luz
MORALES_AmoresYLocurasDelCondeLoco,"Amores y locuras del conde loco, Los",,https://etso.es/informes/analisis-estilometrico-los-amores-y-locuras-del-conde-loco,analisis-estilometrico-los-amores-y-locuras-del-conde-loco
VELEZ_AmotinadosDeFlandes,"Amotinados de Flandes, Los",,https://etso.es/informes/analisis-estilometrico-los-amotinados-de-flandes,analisis-estilometrico-los-amotinados-de-flandes
DESCONOCIDO_ApoloElDeseado(Transk-MSS),Apolo el deseado,,https://etso.es/informes/analisis-estilometrico-apolo-el-deseado,analisis-estilometrico-apolo-el-deseado
LANINI&DIAMANTE_ApostolValencianoSanVicenteFerrer(Transk-MSS),"Apóstol de Valencia, San Vicente Ferrer, El",,https://etso.es/informes/analisis-estilometrico-el-apostol-de-valencia-san-vicente-ferrer,analisis-estilometrico-el-apostol-de-valencia-san-vicente-ferrer
ALFARO_AristomenesMesenio,Aristómenes Mesenio,Por el esfuerzo la dicha,https://etso.es/informes/analisis-estilometrico-aristomenes-mesenio,analisis-estilometrico-aristomenes-mesenio
DESCONOCIDO_AsedioYAsaltoDePeniscola(Transk-MSS),"Asedio y sitio de Peñíscola, El",,https://etso.es/informes/analisis-estilometrico-el-asedio-y-sitio-de-peniscola,analisis-estilometrico-el-asedio-y-sitio-de-peniscola
MANZANO_AsombroDeLaSierra(Transk-MSS),"Asombro de la sierra en milagros y devotos, Nuestra Señora de Hoyos, El",,https://etso.es/informes/analisis-estilometrico-el-asombro-de-la-sierra-en-milagros-y-devotos-nuestra-senora-de,analisis-estilometrico-el-asombro-de-la-sierra-en-milagros-y-devotos-nuestra-senora-de
TORRE-SEVIL_AzucenaDeEtiopiaLucesDeLaAurora(Transk-IMPR),"Azucena de Etiopía, La",Luces de la aurora,https://etso.es/informes/analisis-estilometrico-la-azucena-de-etiopia,analisis-estilometrico-la-azucena-de-etiopia
BARCENA_BabiloniaDeEuropa(Transk-IMPR),"Babilonia de Europa y primer rey de romanos, La",,https://etso.es/informes/analisis-estilometrico-la-babilonia-de-europa-y-primer-rey-de-romanos,analisis-estilometrico-la-babilonia-de-europa-y-primer-rey-de-romanos
DESCONOCIDO_BienNacidoEncubierto,"Bien nacido encubierto, El",,https://etso.es/informes/analisis-estilometrico-el-bien-nacido-encubierto,analisis-estilometrico-el-bien-nacido-encubierto
MIRAdudosa_CaballeroSinNombre,"Caballero sin nombre, El",,https://etso.es/informes/analisis-estilometrico-el-caballero-sin-nombre,analisis-estilometrico-el-caballero-sin-nombre
CUELLAR_CadaCualASuNegocio(Transk-IMPR),Cada cual a su negocio,Hacer cada uno lo que debe,https://etso.es/informes/analisis-estilometrico-cada-cual-a-su-negocio,analisis-estilometrico-cada-cual-a-su-negocio
MIRA_CapitanJepte,"Capitán Jepté, El","Hija de Jepté, La",https://etso.es/informes/analisis-estilometrico-el-capitan-jepte,analisis-estilometrico-el-capitan-jepte
DESCONOCIDO_CarreteroDeLaMancha,"Carretero de la Mancha, El",,https://etso.es/informes/analisis-estilometrico-el-carretero-de-la-mancha,analisis-estilometrico-el-carretero-de-la-mancha
CUBILLO_CasadosPorFuerzaEjemploDeDesdichasEnganoHacerVirtud(Transk-IMPR),"Casados por fuerza, y ejemplo de desdichas, Los",Del engaño hacer virtud,https://etso.es/informes/analisis-estilometrico-los-casados-por-fuerza-y-ejemplo-de-desdichas,analisis-estilometrico-los-casados-por-fuerza-y-ejemplo-de-desdichas
DESCONOCIDO_Casamentero,"Casamentero, El",,https://etso.es/informes/analisis-estilometrico-el-casamentero,analisis-estilometrico-el-casamentero
VELA_CasarsePorGolosina(Transk-IMPR),Casarse por golosina y refranes a trompón,,https://etso.es/informes/analisis-estilometrico-casarse-por-golosina-y-refranes-a-trompon,analisis-estilometrico-casarse-por-golosina-y-refranes-a-trompon
DESCONOCIDO_CastilloDeLaFe(Auto)(Transk-MSS),"Castillo de la fe, El",,https://etso.es/informes/analisis-estilometrico-el-castillo-de-la-fe,analisis-estilometrico-el-castillo-de-la-fe
VALDIVIELSO_CautivosLibres(Auto)(Modern-Aut),"Cautivos libres, Los",,https://etso.es/informes/analisis-estilometrico-los-cautivos-libres,analisis-estilometrico-los-cautivos-libres
COELLO_CelosHonorYCordura(Transk-IMPR),"Celos, horor y cordura",,https://etso.es/informes/analisis-estilometrico-celos-horor-y-cordura,analisis-estilometrico-celos-horor-y-cordura
DESCONOCIDO(3)_CieloPorLosCabellos(Transk-IMPR),"Cielo por los cabellos, Santa Inés, El",,https://etso.es/informes/analisis-estilometrico-el-cielo-por-los-cabellos-santa-ines,analisis-estilometrico-el-cielo-por-los-cabellos-santa-ines
MIRA_CisneDeAlejandriaProdigioDeEtiopia,"Cisne de Alejandría, El","Prodigio de Etiopia, El",https://etso.es/informes/analisis-estilometrico-el-cisne-de-alejandria,analisis-estilometrico-el-cisne-de-alejandria
VELEZ_Colmeneruela(Baile),Colmeneruela,,https://etso.es/informes/analisis-estilometrico-colmeneruela,analisis-estilometrico-colmeneruela
VIDAL_ColoniaDeDiana(Transk-IMPR),"Colonia de Diana, La",,https://etso.es/informes/analisis-estilometrico-la-colonia-de-diana,analisis-estilometrico-la-colonia-de-diana
LOPEdudosa_ComediaOtomana,"Comedia otomana, La","Otomano famoso, El",https://etso.es/informes/analisis-estilometrico-la-comedia-otomana,analisis-estilometrico-la-comedia-otomana
PRADO-JOSE_ComprarUnHombreSuSuerte(Transk-MSS),Comprar un hombre su suerte,,https://etso.es/informes/analisis-estilometrico-comprar-un-hombre-su-suerte,analisis-estilometrico-comprar-un-hombre-su-suerte
DESCONOCIDO_CondeDeMatissio(Transk-MSS),"Conde de Matissio, El",,https://etso.es/informes/analisis-estilometrico-el-conde-de-matissio,analisis-estilometrico-el-conde-de-matissio
