work_id,title,override_slug,automatic_slug,status,detail
ALARCON_DonDomingoDeDonBlas(SegundaParte),"Acomodado Don Domingo de Don Blas, El",analisis-estilometrico-el-acomodado-don-domingo-de-don-blas-segunda-parte,analisis-estilometrico-el-acomodado-don-domingo-de-don-blas,ok,present-in-old-csv
DESCONOCIDO_AcrisolarSuLeltad(Transk-IMPR),"Acrisolar la lealtad a la vista del rigor por fama, padre, y amor: Cosdroas y Siroe",analisis-estilometrico-acrisolar-la-lealtad-la-vista-del-rigor-por-fama-padre-y-amor,analisis-estilometrico-acrisolar-la-lealtad-a-la-vista-del-rigor-por-fama-padre-y-amor,ok,present-in-old-csv
CANIZARES_AdonisyVenus(Transk-MSS),Adonis y Venus,analisis-estilometrico-adonis-y-venus-0,analisis-estilometrico-adonis-y-venus,ok,present-in-old-csv
LOPE_AdonisYVenus,Adonis y Venus,analisis-estilometrico-adonis-y-venus,analisis-estilometrico-adonis-y-venus-0,ok,present-in-old-csv
CALDERON_AlcaideDeSiMismo,"Alcaide de sí mismo, El",analisis-estilometrico-alcaide-de-si-mismo-el,analisis-estilometrico-el-alcaide-de-si-mismo,ok,present-in-old-csv
LOPEdudosa_AlcaldeDeZalamea,"Alcalde de Zalamea, El",analisis-estilometrico-el-alcalde-de-zalamea,analisis-estilometrico-el-alcalde-de-zalamea-0,ok,present-in-old-csv
CALDERON_AlcaldeDeZalamea,"Alcalde de Zalamea, El",analisis-estilometrico-alcalde-de-zalamea-el,analisis-estilometrico-el-alcalde-de-zalamea,ok,present-in-old-csv
PACHECO_AlferezDeCristo(Transk-MSS),"Alférez de Cristo, El",analisis-estilometrico-alferez-de-cristo-el,analisis-estilometrico-el-alferez-de-cristo,ok,present-in-old-csv
MONTALBAN_AmantesDeTeruel,"Amantes de Teruel, Los",analisis-estilometrico-los-amantes-de-teruel-0,analisis-estilometrico-los-amantes-de-teruel,ok,present-in-old-csv
TIRSOdudosa_AmantesDeTeruel,"Amantes de Teruel, Los",analisis-estilometrico-los-amantes-de-teruel,analisis-estilometrico-los-amantes-de-teruel-0,ok,present-in-old-csv
LOPE_AmarSinSaberAQuien,Amar sin saber a quién,analisis-estilometrico-amar-sin-saber-quien,analisis-estilometrico-amar-sin-saber-a-quien,ok,present-in-old-csv
LANINI_AmorConvierteLasPiedras(Transk-MSS),Amor convierte a las piedras,analisis-estilometrico-amor-convierte-las-piedras,analisis-estilometrico-amor-convierte-a-las-piedras,ok,present-in-old-csv
VILLAVICIOSA&MATOS&ZABALETA_AmorHaceHablarLosMudos,"Amor hace hablar a los mudos, El",analisis-estilometrico-el-amor-hace-hablar-los-mudos-el-amante-mudo-la-fuerza-de-la-sangre,analisis-estilometrico-el-amor-hace-hablar-a-los-mudos,ok,present-in-old-csv
MORETO_AmorYObligacion,Amor y obligación,analisis-estilometrico-amor-y-obligacion-0,analisis-estilometrico-amor-y-obligacion,ok,present-in-old-csv
SOLIS_AmorYObligacion,Amor y obligación,analisis-estilometrico-amor-y-obligacion,analisis-estilometrico-amor-y-obligacion-0,ok,present-in-old-csv
RIPOLL_AntidotosDeLaGracia(Transk-IMPR),"Antídotos de la gracia contra infernales y venenos, María Santísima de la Novena",analisis-estilometrico-antidotos-de-la-gracia-contra-infernales-y-venenos-maria-santisima,analisis-estilometrico-antidotos-de-la-gracia-contra-infernales-y-venenos-maria,ok,present-in-old-csv
DESCONOCIDO_AntonioRoca,Antonio Roca,analisis-estilometrico-antonio-roca-0,analisis-estilometrico-antonio-roca,ok,present-in-old-csv
LOPEdudosa_AntonioRoca,Antonio Roca,analisis-estilometrico-antonio-roca,analisis-estilometrico-antonio-roca-0,ok,present-in-old-csv
CALDERON_ArbolDelMejorFruto(Auto),"Árbol del mejor fruto, El",analisis-estilometrico-el-arbol-del-mejor-fruto-0,analisis-estilometrico-el-arbol-del-mejor-fruto,ok,present-in-old-csv
TIRSO_ArbolDelMejorFruto,"Árbol del mejor fruto, El",analisis-estilometrico-el-arbol-del-mejor-fruto,analisis-estilometrico-el-arbol-del-mejor-fruto-0,ok,present-in-old-csv
CALDERON_ArmasDeLaHermosura,"Armas de la hermosura, Las",analisis-estilometrico-armas-de-la-hermosura-las,analisis-estilometrico-las-armas-de-la-hermosura,ok,present-in-old-csv
GONZALEZ-GARCI-GONZALEZ_AsombroDeLaItalia(Transk-IMPR),Asombro de la Italia y vida de la venerable Clara de Agolancia,analisis-estilometrico-el-asombro-de-la-italia-y-vida-de-la-venerable-clara-de-agolancia,analisis-estilometrico-asombro-de-la-italia-y-vida-de-la-venerable-clara-de-agolancia,ok,present-in-old-csv
QUIROGA_AstuciasDeLuzbel(Transk-IMPR),"Astucias de Luzbel contra las divinas profecias, Las",analisis-estilometrico-astucias-de-luzbel-contra-las-divinas-profecias-las,analisis-estilometrico-las-astucias-de-luzbel-contra-las-divinas-profecias,ok,present-in-old-csv
RAMOS-CASTILLO_AutoSacramental(Otro)(Auto)(Transk-IMPR),Auto Sacramental (Emp: Por la verde maleza),analisis-estilometrico-auto-sacramental-otro,analisis-estilometrico-auto-sacramental-emp-por-la-verde-maleza,ok,present-in-old-csv
RAMOS-CASTILLO_AutoSacramental(Auto)(Transk-IMPR),Auto Sacramental (Emp: Ya se despedía el mayo),analisis-estilometrico-auto-sacramental,analisis-estilometrico-auto-sacramental-emp-ya-se-despedia-el-mayo,ok,present-in-old-csv
CALDERON_BandaYLaFlor,"Banda y la flor, La",analisis-estilometrico-banda-y-la-flor-la,analisis-estilometrico-la-banda-y-la-flor,ok,present-in-old-csv
