Column1,Column2,Column3,Column4,Column5,Column6,buena
work_id,title,override_slug,automatic_slug,status,detail,
ROJO_AntiocoYSeleuco(Burlesca)(Transk-MSS),Antioco y Seleuco (Burlesca),analisis-estilometrico-antioco-y-seleuco-burlesca,analisis-estilometrico-antioco-y-seleuco-burlesca,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-antioco-y-seleuco-burlesca
DESCONOCIDO_CercoDeTunez(Transk-MSS),"Cerco de Túnez, El",analisis-estilometrico-el-cerco-de-tunez-0,analisis-estilometrico-el-cerco-de-tunez,old-slug-not-found,not-present-in-old-csv,analisis-estilometrico-el-cerco-de-tunez
CUBILLO_CondeDirlos(Transk-IMPR),"Conde Dirlos, El",analisis-estilometrico-el-conde-de-irlos,analisis-estilometrico-el-conde-dirlos,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-el-conde-dirlos-el-conde-de-irlos
LOPEZ-CASTRO_MarcoAntonio(Transk-MSS),Marco Antonio y Cleopatra,analisis-estilometrico-marco-antonio-y-cleopatra-0,analisis-estilometrico-marco-antonio-y-cleopatra,old-slug-not-found,not-present-in-old-csv,analisis-estilometrico-marco-antonio-y-cleopatra-0
CANIZARES_MasAmadaDeCristo(PrimeraParte)(Transk-IMPR),"Más amada de Cristo, santa Gertrudis la Magna, La",analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna-segunda-parte,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-la-mas-amada-de-cristo-santa-gertrudis-la-magna
ALARCON_NoHayMalQuePorBienNoVenga,No hay mal que por bien no venga,analisis-estilometrico-don-domingo-de-don-blas,analisis-estilometrico-no-hay-mal-que-por-bien-no-venga,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-no-hay-mal-que-por-bien-no-venga-don-domingo-de-don-blas
VELEZ_NoviosDeHornachuelos(VersionManuscrito),"Novios de Hornachuelos, Los (Mss/15429)",analisis-estilometrico-los-novios-de-hornachuelos,analisis-estilometrico-los-novios-de-hornachuelos-mss-15429,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-los-novios-de-hornachuelos-mss-15429
MORETO_Parecido(RefundicionPosterior),"Parecido, El (Refundición posterior)",analisis-estilometrico-el-parecido,analisis-estilometrico-el-parecido-refundicion-posterior,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-el-parecido-refundicion-posterior
FERNANDEZ-MESA_SilvasYAyalas(Transk-MSS),"Silvas y Ayalas, Los",analisis-estilometrico-cada-uno-con-su-igual,analisis-estilometrico-los-silvas-y-ayalas,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-los-silvas-y-ayalas
SANCHEZ-JUAN_CercoDeTunez(Transk-IMPR),"Cerco de Túnez, El",analisis-estilometrico-el-cerco-de-tunez,analisis-estilometrico-el-cerco-de-tunez-0,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-el-cerco-de-tunez-0
CALDERONdudosa_MarcoAntonioYCleopatra(Transk-IMPR),Marco Antonio y Cleopatra,analisis-estilometrico-marco-antonio-y-cleopatra,analisis-estilometrico-marco-antonio-y-cleopatra-0,duplicate-final-slug,present-in-old-csv,analisis-estilometrico-marco-antonio-y-cleopatra
